scorer,,,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw,ftw
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img030.png,,,,,,,,,,,,,,,,,,,,,,,,,155.22198261262284,386.69698317714807,168.8941515185729,369.80783335215085,181.76207519476125,369.80783335215085,189.80452749237892,374.63330473072153,200.25971547928194,383.48000225810097,176.13235858642886,404.390378231907,,,,,,,,,,,,,,,,,,,,,,,,,283.901219374506,393.1309450152422,271.83754092807953,373.024814271198,259.77386248165294,372.2205690414362,249.31867449474996,377.0460404200068,232.42952466975274,381.0672665688157,260.57810771141476,403.5861330021453
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img033.png,,,,,,,,,,,,,,,,,,,,,,,,,156.0262278423846,389.9139640961952,165.67717059952585,366.5908524331038,179.3493395054759,369.00358812238915,189.00028226261716,371.41632381167443,205.08518685785256,381.0672665688157,172.11113243762,406.80311392119233,,,,,,,,,,,,,,,,,,,,,,,,,293.55216213164726,389.10971886643335,279.87999322569715,363.37387151405676,263.7950886304618,363.37387151405676,249.31867449474996,362.56962628429494,232.42952466975274,377.0460404200068,258.9696172518911,401.9776425426217
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img038.png,,,,,,,,,,,,,,,,,,,,,,,,,142.35405893643448,383.48000225810097,160.85169922095523,353.7229287569155,177.7408490459524,353.7229287569155,189.80452749237892,366.5908524331038,205.08518685785256,382.6757570283392,174.52386812690528,405.9988686914305,,,,,,,,,,,,,,,,,,,,,,,,,303.2031048887885,393.93519024500404,291.94367167212374,362.56962628429494,274.25027661736476,353.7229287569155,257.3611267923676,364.9823619735803,234.03801512927632,382.6757570283392,267.01206954950885,411.62858529976296
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img050.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img054.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img061.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img063.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img066.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img071.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img075.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img082.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img086.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img088.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img091.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img095.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img098.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img112.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img114.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img121.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img127.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img130.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img133.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img136.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img140.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img150.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img151.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,WhatsApp Video 2024-03-30 at 6.16.21 PM,img155.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
